word,bounds,flag,label,radical,pinyin
基,B,n,O,土,jī
层,E,n,O,尸,céng
糖,B,n,O,米,táng
尿,M,n,O,尸,niào
病,E,n,O,疒,bìng
微,B,n,O,彳,wēi
血,M,n,O,血,xiě
管,E,n,O,竹,guǎn
病,B,v,O,疒,bìng
变,E,v,O,又,biàn
筛,B,vn,O,竹,shāi
查,E,vn,O,木,chá
与,S,p,O,一,yǔ
防,B,v,O,阝,fáng
治,E,v,O,氵,zhì
专,B,n,O,一,zhuān
家,E,n,O,宀,jiā
共,B,n,O,八,gòng
识,E,n,O,讠,shí
LB,S,x,O,UNK,UNK
中,B,ns,O,丨,zhōng
国,E,ns,O,囗,guó
微,B,i,O,彳,wēi
循,M,i,O,彳,xún
环,E,i,O,王,huán
学,B,n,O,子,xué
会,E,n,O,人,huì
糖,B,n,O,米,táng
尿,M,n,O,尸,niào
病,E,n,O,疒,bìng
与,S,p,O,一,yǔ
微,B,i,O,彳,wēi
循,M,i,O,彳,xún
环,E,i,O,王,huán
专,B,n,O,一,zhuān
业,E,n,O,一,yè
委,B,n,O,女,wěi
员,M,n,O,口,yuán
会,E,n,O,人,huì
LB,S,x,O,UNK,UNK
基,B,n,O,土,jī
金,M,n,O,金,jīn
项,M,n,O,页,xiàng
目,E,n,O,目,mù
:,S,x,O,UNK,UNK
国,B,n,O,囗,guó
家,E,n,O,宀,jiā
重,B,n,O,里,zhòng
点,E,n,O,灬,diǎn
研,B,j,O,石,yán
发,E,j,O,又,fā
计,B,n,O,讠,jì
划,E,n,O,刂,huá
资,B,n,O,贝,zī
助,E,n,O,力,zhù
(,S,x,O,UNK,UNK
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
Y,B,eng,O,UNK,UNK
F,M,eng,O,UNK,UNK
C,M,eng,O,UNK,UNK
num,M,eng,O,UNK,UNK
num,M,eng,O,UNK,UNK
num,M,eng,O,UNK,UNK
num,M,eng,O,UNK,UNK
num,M,eng,O,UNK,UNK
num,M,eng,O,UNK,UNK
num,E,eng,O,UNK,UNK
),S,x,O,UNK,UNK
LB,S,x,O,UNK,UNK
通,B,nz,O,辶,tōng
讯,E,nz,O,讠,xùn
作,B,n,O,亻,zuò
者,E,n,O,耂,zhě
:,S,x,O,UNK,UNK
孙,B,nr,O,子,sūn
子,E,nr,O,子,zǐ
林,S,ng,O,木,lín
SPACE,S,x,O,UNK,UNK
E,S,x,O,UNK,UNK
-,S,x,O,UNK,UNK
m,B,eng,O,UNK,UNK
a,M,eng,O,UNK,UNK
i,M,eng,O,UNK,UNK
l,E,eng,O,UNK,UNK
:,S,x,O,UNK,UNK
s,B,eng,O,UNK,UNK
u,M,eng,O,UNK,UNK
n,M,eng,O,UNK,UNK
z,M,eng,O,UNK,UNK
i,M,eng,O,UNK,UNK
l,M,eng,O,UNK,UNK
i,M,eng,O,UNK,UNK
n,M,eng,O,UNK,UNK
num,M,eng,O,UNK,UNK
num,M,eng,O,UNK,UNK
num,M,eng,O,UNK,UNK
num,E,eng,O,UNK,UNK
@,S,x,O,UNK,UNK
num,B,m,O,UNK,UNK
num,E,m,O,UNK,UNK
sep,sep,sep,sep,sep,sep
num,E,n,O,UNK,UNK
.,B,n,O,UNK,UNK
c,M,n,O,UNK,UNK
o,E,n,O,UNK,UNK
m,B,n,O,UNK,UNK
LB,M,n,O,UNK,UNK
随,E,n,O,阝,suí
着,B,v,O,目,zhuó
人,E,v,O,人,rén
们,B,vn,O,亻,mén
生,E,vn,O,生,shēng
活,S,p,O,氵,huó
方,B,v,O,方,fāng
式,E,v,O,弋,shì
的,B,n,O,白,dí
改,E,n,O,攵,gǎi
变,B,n,O,又,biàn
和,E,n,O,口,hé
社,S,x,O,礻,shè
会,B,ns,O,人,huì
人,E,ns,O,人,rén
口,B,i,O,口,kǒu
老,M,i,O,耂,lǎo
龄,E,i,O,齿,líng
化,B,n,O,亻,huà
进,E,n,O,辶,jìn
LB,B,n,O,UNK,UNK
程,M,n,O,禾,chéng
的,E,n,O,白,dí
加,S,p,O,力,jiā
剧,B,i,O,刂,jù
sep,sep,sep,sep,sep,sep
糖,B,n,O,米,táng
尿,M,n,O,尸,niào
病,E,n,O,疒,bìng
正,B,n,O,止,zhèng
成,M,n,O,戈,chéng
为,E,n,O,丶,wéi
一,B,v,O,一,yī
种,E,v,O,禾,zhǒng
全,B,vn,O,入,quán
球,E,vn,O,王,qiú
范,S,p,O,艹,fàn
围,B,v,O,囗,wéi
内,E,v,O,冂,nèi
的,B,n,O,白,dí
慢,E,n,O,忄,màn
性,B,n,O,忄,xìng
流,E,n,O,氵,liú
LB,S,x,O,UNK,UNK
行,B,ns,O,行,háng
性,E,ns,O,忄,xìng
疾,B,i,O,疒,jí
sep,sep,sep,sep,sep,sep
据,M,n,O,扌,jù
国,E,n,O,囗,guó
际,B,n,O,阝,jì
糖,M,n,O,米,táng
尿,E,n,O,尸,niào
病,B,v,O,疒,bìng
联,E,v,O,耳,lián
盟,B,vn,O,皿,méng
sep,sep,sep,sep,sep,sep
至,E,n,O,至,zhì
SPACE,B,n,O,UNK,UNK
num,M,n,O,UNK,UNK
num,E,n,O,UNK,UNK
num,B,v,O,UNK,UNK
num,E,v,O,UNK,UNK
年,B,vn,O,干,nián
",",E,vn,O,UNK,UNK
LB,S,p,O,UNK,UNK
世,B,v,O,一,shì
界,E,v,O,田,jiè
范,B,n,O,艹,fàn
围,E,n,O,囗,wéi
内,B,n,O,冂,nèi
SPACE,E,n,O,UNK,UNK
num,S,x,O,UNK,UNK
型,B,ns,O,土,xíng
糖,E,ns,O,米,táng
尿,B,i,O,尸,niào
病,M,i,O,疒,bìng
患,E,i,O,心,huàn
者,B,n,O,耂,zhě
数,E,n,O,攵,shù
sep,sep,sep,sep,sep,sep
SPACE,B,n,O,UNK,UNK
num,M,n,O,UNK,UNK
.,E,n,O,UNK,UNK
num,B,v,O,UNK,UNK
num,E,v,O,UNK,UNK
亿,B,vn,O,亻,yì
SPACE,E,vn,O,UNK,UNK
[,S,p,O,UNK,UNK
num,B,v,O,UNK,UNK
],E,v,O,UNK,UNK
。,B,n,O,UNK,UNK
LB,E,n,O,UNK,UNK
糖,B,n,O,米,táng
尿,E,n,O,尸,niào
病,S,x,O,疒,bìng
的,B,ns,O,白,dí
管,E,ns,O,竹,guǎn
理,B,i,O,王,lǐ
不,M,i,O,一,bù
仅,E,i,O,亻,jǐn
要,B,n,O,覀,yào
实,E,n,O,宀,shí
现,B,n,O,见,xiàn
理,M,n,O,王,lǐ
想,E,n,O,心,xiǎng
的,S,p,O,白,dí
sep,sep,sep,sep,sep,sep
更,M,n,O,曰,gēng
要,E,n,O,覀,yào
通,B,v,O,辶,tōng
LB,E,v,O,UNK,UNK
过,B,vn,O,辶,guò
良,E,vn,O,艮,liáng
好,S,p,O,女,hǎo
的,B,v,O,白,dí
代,E,v,O,亻,dài
谢,B,n,O,讠,xiè
控,E,n,O,扌,kòng
制,B,n,O,刂,zhì
达,E,n,O,辶,dá
到,S,x,O,刂,dào
预,B,ns,O,页,yù
防,E,ns,O,阝,fáng
慢,B,i,O,忄,màn
性,M,i,O,忄,xìng
并,E,i,O,干,bìng
发,B,n,O,又,fā
症,E,n,O,疒,zhèng
、,B,n,O,UNK,UNK
提,M,n,O,扌,tí
高,E,n,O,高,gāo
患,S,p,O,心,huàn
者,B,i,O,耂,zhě
LB,M,i,O,UNK,UNK
生,E,i,O,生,shēng
活,B,n,O,氵,huó
质,E,n,O,贝,zhì
量,B,n,O,里,liáng
及,M,n,O,又,jí
延,E,n,O,廴,yán
长,S,x,O,长,cháng
患,B,n,O,心,huàn
者,M,n,O,耂,zhě
sep,sep,sep,sep,sep,sep
在,E,n,O,土,zài
糖,B,v,O,米,táng
尿,E,v,O,尸,niào
病,B,vn,O,疒,bìng
慢,E,vn,O,忄,màn
sep,sep,sep,sep,sep,sep
视,B,v,O,见,shì
网,E,v,O,冂,wǎng
膜,B,vn,O,月,mó
、,E,vn,O,UNK,UNK
肾,S,p,O,月,shèn
脏,B,v,O,月,zàng
及,E,v,O,又,jí
外,B,n,O,夕,wài
周,E,n,O,口,zhōu
神,B,n,O,礻,shén
经,E,n,O,纟,jīng
的,S,x,O,白,dí
微,B,ns,O,彳,wēi
血,E,ns,O,血,xiě
管,B,i,O,竹,guǎn
并,M,i,O,干,bìng
发,E,i,O,又,fā
症,B,n,O,疒,zhèng
LB,E,n,O,UNK,UNK
是,B,n,O,日,shì
各,M,n,O,口,gè
类,E,n,O,米,lèi
型,S,p,O,土,xíng
糖,B,i,O,米,táng
尿,M,i,O,尸,niào
病,E,i,O,疒,bìng
的,B,n,O,白,dí
特,E,n,O,牜,tè
异,B,n,O,廾,yì
sep,sep,sep,sep,sep,sep
对,E,v,O,寸,duì
患,B,vn,O,心,huàn
者,E,vn,O,耂,zhě
生,S,p,O,生,shēng
活,B,v,O,氵,huó
质,E,v,O,贝,zhì
量,B,n,O,里,liáng
LB,E,n,O,UNK,UNK
的,B,n,O,白,dí
影,E,n,O,彡,yǐng
响,S,x,O,口,xiǎng
sep,sep,sep,sep,sep,sep
是,B,vn,O,日,shì
糖,E,vn,O,米,táng
尿,S,p,O,尸,niào
病,B,v,O,疒,bìng
患,E,v,O,心,huàn
者,B,n,O,耂,zhě
致,E,n,O,至,zhì
死,B,n,O,歹,sǐ
sep,sep,sep,sep,sep,sep
严,E,vn,O,一,yán
重,S,p,O,里,zhòng
sep,sep,sep,sep,sep,sep
加,S,p,O,力,jiā
重,B,v,O,里,zhòng
了,E,v,O,乙,liǎo
sep,sep,sep,sep,sep,sep
LB,B,v,O,UNK,UNK
num,E,v,O,UNK,UNK
SPACE,B,n,O,UNK,UNK
我,E,n,O,戈,wǒ
国,B,n,O,囗,guó
糖,E,n,O,米,táng
尿,S,x,O,尸,niào
病,B,ns,O,疒,bìng
微,E,ns,O,彳,wēi
血,B,i,O,血,xiě
管,M,i,O,竹,guǎn
并,E,i,O,干,bìng
发,B,n,O,又,fā
症,E,n,O,疒,zhèng
的,B,n,O,白,dí
流,M,n,O,氵,liú
行,E,n,O,行,háng
病,S,p,O,疒,bìng
学,B,i,O,子,xué
现,M,i,O,见,xiàn
状,E,i,O,犬,zhuàng
及,B,n,O,又,jí
卫,E,n,O,卩,wèi
LB,B,n,O,UNK,UNK
生,M,n,O,生,shēng
经,E,n,O,纟,jīng
济,S,x,O,氵,jì
负,B,n,O,贝,fù
担,M,n,O,扌,dān
LB,M,n,O,UNK,UNK
糖,E,n,O,米,táng
尿,S,x,O,尸,niào
病,B,n,O,疒,bìng
微,E,n,O,彳,wēi
血,B,n,O,血,xiě
管,E,n,O,竹,guǎn
并,B,j,O,干,bìng
发,E,j,O,又,fā
症,B,n,O,疒,zhèng
最,E,n,O,曰,zuì
主,B,n,O,丶,zhǔ
要,E,n,O,覀,yào
的,S,x,O,白,dí
危,B,m,O,㔾,wēi
险,M,m,O,阝,xiǎn
因,M,m,O,囗,yīn
sep,sep,sep,sep,sep,sep
资,E,v,O,贝,zī
料,B,n,O,斗,liào
显,E,n,O,日,xiǎn
示,B,n,O,示,shì
",",E,n,O,UNK,UNK
我,S,x,O,戈,wǒ
国,B,ns,O,囗,guó
糖,E,ns,O,米,táng
尿,B,i,O,尸,niào
病,M,i,O,疒,bìng
视,E,i,O,见,shì
网,B,n,O,冂,wǎng
膜,E,n,O,月,mó
病,B,n,O,疒,bìng
LB,M,n,O,UNK,UNK
变,E,n,O,又,biàn
(,S,p,O,UNK,UNK
d,B,i,O,UNK,UNK
i,M,i,O,UNK,UNK
a,E,i,O,UNK,UNK
b,B,n,O,UNK,UNK
e,E,n,O,UNK,UNK
t,B,n,O,UNK,UNK
i,M,n,O,UNK,UNK
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
num,E,n,O,UNK,UNK
.,S,x,O,UNK,UNK
num,B,ns,O,UNK,UNK
%,E,ns,O,UNK,UNK
LB,B,i,O,UNK,UNK
~,M,i,O,UNK,UNK
SPACE,E,i,O,UNK,UNK
num,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
.,B,n,O,UNK,UNK
num,M,n,O,UNK,UNK
%,E,n,O,UNK,UNK
;,S,p,O,UNK,UNK
病,B,i,O,疒,bìng
程,M,i,O,禾,chéng
sep,sep,sep,sep,sep,sep
num,S,x,O,UNK,UNK
.,B,ns,O,UNK,UNK
num,E,ns,O,UNK,UNK
%,B,i,O,UNK,UNK
~,M,i,O,UNK,UNK
SPACE,E,i,O,UNK,UNK
num,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
.,B,n,O,UNK,UNK
num,M,n,O,UNK,UNK
%,E,n,O,UNK,UNK
;,S,p,O,UNK,UNK
病,B,i,O,疒,bìng
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
目,E,ns,O,目,mù
前,B,i,O,刂,qián
我,M,i,O,戈,wǒ
国,E,i,O,囗,guó
尚,B,n,O,小,shàng
缺,E,n,O,缶,quē
乏,B,n,O,丿,fá
全,M,n,O,入,quán
国,E,n,O,囗,guó
性,S,p,O,忄,xìng
的,B,i,O,白,dí
LB,M,i,O,UNK,UNK
糖,E,i,O,米,táng
尿,B,n,O,尸,niào
病,E,n,O,疒,bìng
肾,B,n,O,月,shèn
脏,M,n,O,月,zàng
疾,E,n,O,疒,jí
病,S,x,O,疒,bìng
(,B,n,O,UNK,UNK
d,M,n,O,UNK,UNK
i,M,n,O,UNK,UNK
a,E,n,O,UNK,UNK
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
我,B,n,O,戈,wǒ
国,E,n,O,囗,guó
社,B,n,O,礻,shè
区,M,n,O,匚,qū
SPACE,E,n,O,UNK,UNK
num,S,p,O,UNK,UNK
型,B,i,O,土,xíng
糖,M,i,O,米,táng
尿,E,i,O,尸,niào
sep,sep,sep,sep,sep,sep
我,E,n,O,戈,wǒ
国,B,n,O,囗,guó
SPACE,M,n,O,UNK,UNK
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
病,M,n,O,疒,bìng
程,E,n,O,禾,chéng
SPACE,S,p,O,UNK,UNK
num,B,i,O,UNK,UNK
年,M,i,O,干,nián
、,E,i,O,UNK,UNK
LB,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
num,B,n,O,UNK,UNK
年,M,n,O,干,nián
、,E,n,O,UNK,UNK
num,S,x,O,UNK,UNK
num,B,n,O,UNK,UNK
年,M,n,O,干,nián
、,M,n,O,UNK,UNK
num,E,n,O,UNK,UNK
num,S,x,O,UNK,UNK
年,B,n,O,干,nián
、,E,n,O,UNK,UNK
num,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
年,B,j,O,干,nián
的,E,j,O,白,dí
SPACE,B,n,O,UNK,UNK
D,E,n,O,UNK,UNK
K,B,n,O,UNK,UNK
D,E,n,O,UNK,UNK
累,S,x,O,糸,léi
计,B,m,O,讠,jì
患,M,m,O,心,huàn
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
平,S,p,O,干,píng
均,B,i,O,土,jūn
sep,sep,sep,sep,sep,sep
num,B,i,O,UNK,UNK
.,M,i,O,UNK,UNK
num,E,i,O,UNK,UNK
%,B,n,O,UNK,UNK
[,E,n,O,UNK,UNK
num,B,n,O,UNK,UNK
],M,n,O,UNK,UNK
。,E,n,O,UNK,UNK
本,S,x,O,木,běn
共,B,n,O,八,gòng
识,M,n,O,讠,shí
主,M,n,O,丶,zhǔ
要,E,n,O,覀,yào
描,S,x,O,扌,miáo
述,B,n,O,辶,shù
糖,E,n,O,米,táng
尿,B,n,O,尸,niào
病,E,n,O,疒,bìng
周,B,j,O,口,zhōu
围,E,j,O,囗,wéi
神,B,n,O,礻,shén
经,E,n,O,纟,jīng
病,B,n,O,疒,bìng
变,E,n,O,又,biàn
LB,S,x,O,UNK,UNK
(,B,m,O,UNK,UNK
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
LB,B,n,O,UNK,UNK
num,M,n,O,UNK,UNK
SPACE,E,n,O,UNK,UNK
基,S,x,O,土,jī
层,B,n,O,尸,céng
医,M,n,O,匚,yī
疗,M,n,O,疒,liáo
卫,E,n,O,卩,wèi
生,S,x,O,生,shēng
机,B,n,O,木,jī
构,E,n,O,木,gòu
糖,B,n,O,米,táng
尿,E,n,O,尸,niào
病,B,j,O,疒,bìng
微,E,j,O,彳,wēi
血,B,n,O,血,xiě
管,E,n,O,竹,guǎn
并,B,n,O,干,bìng
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
以,S,x,O,人,yǐ
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
LB,E,n,O,UNK,UNK
num,B,j,O,UNK,UNK
.,E,j,O,UNK,UNK
num,B,n,O,UNK,UNK
SPACE,E,n,O,UNK,UNK
基,B,n,O,土,jī
本,E,n,O,木,běn
配,S,x,O,酉,pèi
置,B,m,O,罒,zhì
建,M,m,O,廴,jiàn
议,M,m,O,讠,yì
(,E,m,O,UNK,UNK
参,B,eng,O,厶,cān
考,M,eng,O,耂,kǎo
附,M,eng,O,阝,fù
录,M,eng,O,彐,lù
SPACE,M,eng,O,UNK,UNK
num,M,eng,O,UNK,UNK
),M,eng,O,UNK,UNK
SPACE,M,eng,O,UNK,UNK
我,M,eng,O,戈,wǒ
国,E,eng,O,囗,guó
SPACE,S,x,O,UNK,UNK
num,S,x,O,UNK,UNK
num,B,nz,O,UNK,UNK
num,E,nz,O,UNK,UNK
num,B,n,O,UNK,UNK
年,E,n,O,干,nián
发,S,x,O,又,fā
布,B,nr,O,巾,bù
LB,E,nr,O,UNK,UNK
的,S,ng,O,白,dí
《,S,x,O,UNK,UNK
中,S,x,O,丨,zhōng
国,S,x,O,囗,guó
糖,B,eng,O,米,táng
尿,M,eng,O,尸,niào
病,M,eng,O,疒,bìng
视,E,eng,O,见,shì
网,S,x,O,冂,wǎng
膜,B,eng,O,月,mó
病,M,eng,O,疒,bìng
变,M,eng,O,又,biàn
防,M,eng,O,阝,fáng
治,M,eng,O,氵,zhì
指,M,eng,O,扌,zhǐ
南,M,eng,O,十,nán
(,M,eng,O,UNK,UNK
基,M,eng,O,土,jī
层,M,eng,O,尸,céng
版,M,eng,O,片,bǎn
),E,eng,O,UNK,UNK
》,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
考,S,x,O,耂,kǎo
虑,B,eng,O,虍,lǜ
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
每,M,eng,O,母,měi
SPACE,M,eng,O,UNK,UNK
num,M,eng,O,UNK,UNK
~,M,eng,O,UNK,UNK
SPACE,M,eng,O,UNK,UNK
num,M,eng,O,UNK,UNK
LB,M,eng,O,UNK,UNK
个,M,eng,O,人,gè
月,M,eng,O,月,yuè
检,M,eng,O,木,jiǎn
查,E,eng,O,木,chá
SPACE,S,x,O,UNK,UNK
num,B,m,O,UNK,UNK
次,E,m,O,欠,cì
LB,B,m,O,UNK,UNK
•,E,m,O,UNK,UNK
SPACE,B,eng,O,UNK,UNK
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
